# Band per OTA for the A170r_1200 layout: alternation-optimised table.
# band: b = the cycle's first band (ArgusSim 'g'), rho = the other.  600 b / 600 rho.
# Layout: A170r_1200_telescopes.csv (sha256 0d2b3154541c5f08...), compass az = CSV az + 90.
# Objective: area-weighted fraction of sky whose band set differs between consecutive 16-min ratchets (15 x 60 s + 1 min
# reset, sky step 4.011 deg; overlap credited), subject to per-0.5-deg-dec-line g/rho exposure balance within 5% on all
# 211 lines.  Array-frame alternation 0.8492 at 4.011 deg (upper bound 0.9608; strip rule 0.653); exact coverage
# engine over one summer season 0.8493; largest dec-line imbalance 0.037.
# Exactly E/W mirror-antisymmetric: all 598 twin pairs of OTAs carry opposite bands.
tel_id,band
0,b
1,b
52,b
53,b
54,rho
55,b
56,rho
57,rho
58,rho
59,rho
60,rho
61,b
62,rho
63,b
106,b
107,b
108,b
109,b
110,rho
111,rho
112,b
113,b
114,b
115,b
116,b
117,rho
118,b
119,rho
120,b
121,b
122,b
270,b
271,b
272,rho
273,rho
274,rho
275,rho
276,b
277,rho
278,b
279,b
280,b
281,b
282,b
283,b
284,b
285,b
286,rho
287,rho
288,b
289,b
290,b
291,rho
292,rho
293,rho
294,rho
295,rho
296,b
444,rho
445,b
446,b
447,b
448,b
449,b
450,b
451,b
452,b
453,b
454,rho
455,rho
456,rho
457,rho
458,rho
459,rho
460,rho
461,rho
462,rho
463,rho
464,rho
465,b
466,b
467,b
468,rho
469,rho
470,b
471,b
472,b
473,b
474,b
475,b
476,b
477,b
478,b
479,b
588,rho
589,b
590,rho
591,rho
592,rho
593,rho
594,rho
595,rho
596,rho
597,rho
598,rho
599,rho
600,rho
601,rho
602,rho
603,rho
604,b
605,b
606,b
607,b
608,b
609,b
610,b
611,b
612,b
613,b
614,rho
615,rho
616,rho
617,rho
618,rho
619,rho
620,rho
621,rho
622,rho
623,rho
624,rho
625,rho
626,b
2,rho
3,rho
64,rho
65,b
66,rho
67,b
68,b
69,b
70,b
71,b
72,rho
73,b
74,rho
75,rho
123,rho
124,rho
125,rho
126,b
127,rho
128,b
129,rho
130,rho
131,rho
132,rho
133,rho
134,b
135,b
136,rho
137,rho
138,rho
139,rho
297,rho
298,b
299,b
300,b
301,b
302,b
303,rho
304,rho
305,rho
306,b
307,b
308,rho
309,rho
310,rho
311,rho
312,rho
313,rho
314,rho
315,rho
316,b
317,rho
318,b
319,b
320,b
321,b
322,rho
323,rho
480,rho
481,rho
482,rho
483,rho
484,rho
485,rho
486,rho
487,rho
488,rho
489,rho
490,b
491,b
492,rho
493,rho
494,rho
495,b
496,b
497,b
498,b
499,b
500,b
501,b
502,b
503,b
504,b
505,b
506,rho
507,rho
508,rho
509,rho
510,rho
511,rho
512,rho
513,rho
514,rho
515,b
627,rho
628,b
629,b
630,b
631,b
632,b
633,b
634,b
635,b
636,b
637,b
638,b
639,b
640,rho
641,rho
642,rho
643,rho
644,rho
645,rho
646,rho
647,rho
648,rho
649,rho
650,b
651,b
652,b
653,b
654,b
655,b
656,b
657,b
658,b
659,b
660,b
661,b
662,b
663,b
664,rho
665,b
18,rho
19,b
20,rho
21,rho
22,rho
23,b
24,b
182,rho
183,rho
184,rho
185,rho
186,rho
187,b
188,b
189,rho
190,b
191,b
192,b
193,b
194,b
195,rho
196,rho
197,rho
198,b
199,rho
200,rho
201,rho
202,rho
384,rho
385,rho
386,rho
387,b
388,b
389,b
390,b
391,b
392,b
393,b
394,b
395,b
396,b
397,rho
398,rho
399,rho
400,rho
401,rho
402,rho
403,rho
404,b
405,b
406,rho
407,b
408,b
409,b
410,b
411,rho
412,rho
413,rho
828,rho
829,b
830,b
831,rho
832,rho
833,rho
834,rho
835,rho
836,rho
837,rho
838,rho
839,rho
840,rho
841,rho
842,b
843,b
844,b
845,b
846,rho
847,rho
848,rho
849,rho
850,rho
851,rho
852,rho
853,rho
854,rho
855,rho
856,rho
857,rho
858,b
859,b
860,rho
861,rho
862,rho
863,rho
864,rho
865,rho
866,rho
867,rho
868,rho
869,rho
870,rho
871,b
872,b
1008,rho
1009,rho
