# Argus telescope layout: A170r_1200 (1200 telescopes)
# Generated by argus_array_layout.py
#
# Coordinate system: right-handed, y = UP; x = azimuth 0 deg, z = azimuth 90 deg.
# Positions are the TELESCOPE-BASE CENTERLINE for the current truss pseudofocal
#   layout: radius = (pf - mount_h) * tan(zen), which makes each sight line pass
#   through the point (0, pf_ft, 0) on the array axis.  pf is shared per ring GROUP
#   (each subarray has a main-ring value and a central-ring value, so two
#   convergence points per subarray -- see the pf_ft column).
#
# Columns:
#   tel_id     - telescope index, stable within this layout (generation order, 0..N-1)
#   subarray   - subarray/mount number 0-7. circular_split2x_3rad: 0-5 main 3-radial x 2-azimuth
#                interleave, 6-7 central rings. mod4_optB: 2*type + parity, type = ring mod 4.
#   ring_n     - radial ring index n_r; pointing zenith = 1.0 + ring_n * 2.392494495 deg
#   az_n       - azimuth index within the FULL ring (all subarrays; even/odd indices
#                alternate between the ring's two subarrays)
#   az_deg     - STATION BEARING of the telescope base [deg] (x = r cos az, z = r sin az), uniform around
#                each ring starting at 0. Because every sight line passes through the pseudofocal point on
#                the axis ABOVE the array, the SKY POINTING azimuth is az_deg + 180 (the coverage code
#                places footprints there).
#   alt_deg    - pointing altitude [deg] = 90 - zen_deg
#   zen_deg    - pointing zenith distance [deg] from the array axis
#   pf_ft      - pseudofocal radius of this telescope's subarray [ft]; the subarray's
#                sight lines converge at height pf_ft on the array axis
#   mount_h_ft - mount (base) height above the table datum [ft]
#   radius_ft  - horizontal distance from the array axis to the base centerline [ft],
#                = (pf_ft - mount_h_ft) * tan(zen_deg)
#   x_ft       - base-centerline x [ft] = radius_ft * cos(az_deg)
#   y_ft       - base-centerline height [ft] = mount_h_ft
#   z_ft       - base-centerline z [ft] = radius_ft * sin(az_deg)
tel_id,subarray,ring_n,az_n,az_deg,alt_deg,zen_deg,pf_ft,mount_h_ft,radius_ft,x_ft,y_ft,z_ft
0,0,0,0,10.0000,89.0000,1.0000,45.9618,2.1350,0.7650,0.7534,2.1350,0.1328
1,0,0,2,190.0000,89.0000,1.0000,45.9618,2.1350,0.7650,-0.7534,2.1350,-0.1328
52,0,4,0,97.5000,79.4300,10.5700,15.5000,2.2263,2.4769,-0.3233,2.2263,2.4557
53,0,4,2,127.5000,79.4300,10.5700,15.5000,2.2263,2.4769,-1.5078,2.2263,1.9651
54,0,4,4,157.5000,79.4300,10.5700,15.5000,2.2263,2.4769,-2.2884,2.2263,0.9479
55,0,4,6,187.5000,79.4300,10.5700,15.5000,2.2263,2.4769,-2.4557,2.2263,-0.3233
56,0,4,8,217.5000,79.4300,10.5700,15.5000,2.2263,2.4769,-1.9651,2.2263,-1.5078
57,0,4,10,247.5000,79.4300,10.5700,15.5000,2.2263,2.4769,-0.9479,2.2263,-2.2884
58,0,4,12,277.5000,79.4300,10.5700,15.5000,2.2263,2.4769,0.3233,2.2263,-2.4557
59,0,4,14,307.5000,79.4300,10.5700,15.5000,2.2263,2.4769,1.5078,2.2263,-1.9651
60,0,4,16,337.5000,79.4300,10.5700,15.5000,2.2263,2.4769,2.2884,2.2263,-0.9479
61,0,4,18,7.5000,79.4300,10.5700,15.5000,2.2263,2.4769,2.4557,2.2263,0.3233
62,0,4,20,37.5000,79.4300,10.5700,15.5000,2.2263,2.4769,1.9651,2.2263,1.5078
63,0,4,22,67.5000,79.4300,10.5700,15.5000,2.2263,2.4769,0.9479,2.2263,2.2884
106,0,6,0,95.2941,74.6450,15.3550,17.0000,2.2712,4.0445,-0.3732,2.2712,4.0273
107,0,6,2,116.4706,74.6450,15.3550,17.0000,2.2712,4.0445,-1.8028,2.2712,3.6205
108,0,6,4,137.6471,74.6450,15.3550,17.0000,2.2712,4.0445,-2.9889,2.2712,2.7248
109,0,6,6,158.8235,74.6450,15.3550,17.0000,2.2712,4.0445,-3.7714,2.2712,1.4611
110,0,6,8,180.0000,74.6450,15.3550,17.0000,2.2712,4.0445,-4.0445,2.2712,0.0000
111,0,6,10,201.1765,74.6450,15.3550,17.0000,2.2712,4.0445,-3.7714,2.2712,-1.4611
112,0,6,12,222.3529,74.6450,15.3550,17.0000,2.2712,4.0445,-2.9889,2.2712,-2.7248
113,0,6,14,243.5294,74.6450,15.3550,17.0000,2.2712,4.0445,-1.8028,2.2712,-3.6205
114,0,6,16,264.7059,74.6450,15.3550,17.0000,2.2712,4.0445,-0.3732,2.2712,-4.0273
115,0,6,18,285.8824,74.6450,15.3550,17.0000,2.2712,4.0445,1.1068,2.2712,-3.8901
116,0,6,20,307.0588,74.6450,15.3550,17.0000,2.2712,4.0445,2.4374,2.2712,-3.2276
117,0,6,22,328.2353,74.6450,15.3550,17.0000,2.2712,4.0445,3.4387,2.2712,-2.1292
118,0,6,24,349.4118,74.6450,15.3550,17.0000,2.2712,4.0445,3.9757,2.2712,-0.7432
119,0,6,26,10.5882,74.6450,15.3550,17.0000,2.2712,4.0445,3.9757,2.2712,0.7432
120,0,6,28,31.7647,74.6450,15.3550,17.0000,2.2712,4.0445,3.4387,2.2712,2.1292
121,0,6,30,52.9412,74.6450,15.3550,17.0000,2.2712,4.0445,2.4374,2.2712,3.2276
122,0,6,32,74.1176,74.6450,15.3550,17.0000,2.2712,4.0445,1.1068,2.2712,3.8901
270,0,10,0,93.3333,65.0751,24.9249,16.0000,1.7555,6.6196,-0.3849,1.7555,6.6084
271,0,10,2,106.6667,65.0751,24.9249,16.0000,1.7555,6.6196,-1.8985,1.7555,6.3415
272,0,10,4,120.0000,65.0751,24.9249,16.0000,1.7555,6.6196,-3.3098,1.7555,5.7328
273,0,10,6,133.3333,65.0751,24.9249,16.0000,1.7555,6.6196,-4.5427,1.7555,4.8149
274,0,10,8,146.6667,65.0751,24.9249,16.0000,1.7555,6.6196,-5.5306,1.7555,3.6375
275,0,10,10,160.0000,65.0751,24.9249,16.0000,1.7555,6.6196,-6.2204,1.7555,2.2640
276,0,10,12,173.3333,65.0751,24.9249,16.0000,1.7555,6.6196,-6.5749,1.7555,0.7685
277,0,10,14,186.6667,65.0751,24.9249,16.0000,1.7555,6.6196,-6.5749,1.7555,-0.7685
278,0,10,16,200.0000,65.0751,24.9249,16.0000,1.7555,6.6196,-6.2204,1.7555,-2.2640
279,0,10,18,213.3333,65.0751,24.9249,16.0000,1.7555,6.6196,-5.5306,1.7555,-3.6375
280,0,10,20,226.6667,65.0751,24.9249,16.0000,1.7555,6.6196,-4.5427,1.7555,-4.8149
281,0,10,22,240.0000,65.0751,24.9249,16.0000,1.7555,6.6196,-3.3098,1.7555,-5.7328
282,0,10,24,253.3333,65.0751,24.9249,16.0000,1.7555,6.6196,-1.8985,1.7555,-6.3415
283,0,10,26,266.6667,65.0751,24.9249,16.0000,1.7555,6.6196,-0.3849,1.7555,-6.6084
284,0,10,28,280.0000,65.0751,24.9249,16.0000,1.7555,6.6196,1.1495,1.7555,-6.5191
285,0,10,30,293.3333,65.0751,24.9249,16.0000,1.7555,6.6196,2.6219,1.7555,-6.0782
286,0,10,32,306.6667,65.0751,24.9249,16.0000,1.7555,6.6196,3.9530,1.7555,-5.3098
287,0,10,34,320.0000,65.0751,24.9249,16.0000,1.7555,6.6196,5.0709,1.7555,-4.2550
288,0,10,36,333.3333,65.0751,24.9249,16.0000,1.7555,6.6196,5.9155,1.7555,-2.9709
289,0,10,38,346.6667,65.0751,24.9249,16.0000,1.7555,6.6196,6.4412,1.7555,-1.5266
290,0,10,40,0.0000,65.0751,24.9249,16.0000,1.7555,6.6196,6.6196,1.7555,0.0000
291,0,10,42,13.3333,65.0751,24.9249,16.0000,1.7555,6.6196,6.4412,1.7555,1.5266
