Wavelength (nm),T
300.00,1.10658E-11
301.00,6.29714E-13
302.00,2.15725E-13
303.00,9.46138E-12
304.00,8.08338E-11
305.00,4.14021E-10
306.00,4.08245E-10
307.00,1.12068E-08
308.00,2.88743E-10
309.00,9.03422E-09
310.00,3.51077E-08
311.00,1.07565E-08
312.00,1.35522E-07
313.00,1.46295E-06
314.00,7.88523E-06
315.00,3.17074E-05
316.00,3.74942E-05
317.00,1.05158E-04
318.00,2.44825E-05
319.00,6.02317E-04
320.00,3.97256E-04
321.00,6.22085E-04
322.00,2.09571E-02
323.00,1.47584E-01
324.00,2.51365E+00
325.00,7.22434E+01
326.00,8.56812E+01
327.00,8.75159E+01
328.00,8.86262E+01
329.00,8.97309E+01
330.00,9.03871E+01
331.00,9.12132E+01
332.00,9.18667E+01
333.00,9.24111E+01
334.00,9.27484E+01
335.00,9.34518E+01
336.00,9.38555E+01
337.00,9.442E+01
338.00,9.47843E+01
339.00,9.52114E+01
340.00,9.55645E+01
341.00,9.58959E+01
342.00,9.60429E+01
343.00,9.61116E+01
344.00,9.64504E+01
345.00,9.66404E+01
346.00,9.65887E+01
347.00,9.68677E+01
348.00,9.7021E+01
349.00,9.69744E+01
350.00,9.7178E+01
351.00,9.72315E+01
352.00,9.73907E+01
353.00,9.74937E+01
354.00,9.7223E+01
355.00,9.76696E+01
356.00,9.77936E+01
357.00,9.76493E+01
358.00,9.78665E+01
359.00,9.76185E+01
360.00,9.81755E+01
361.00,9.82261E+01
362.00,9.7551E+01
363.00,9.82428E+01
364.00,9.78023E+01
365.00,9.82602E+01
366.00,9.79112E+01
367.00,9.84642E+01
368.00,9.78087E+01
369.00,9.80597E+01
370.00,9.71975E+01
371.00,9.79882E+01
372.00,9.76654E+01
373.00,9.84372E+01
374.00,9.74388E+01
375.00,9.88276E+01
376.00,9.83199E+01
377.00,9.88224E+01
378.00,9.79398E+01
379.00,9.93784E+01
380.00,9.8683E+01
381.00,9.98763E+01
382.00,9.89125E+01
383.00,9.88439E+01
384.00,9.78823E+01
385.00,9.92273E+01
386.00,9.84314E+01
387.00,9.87436E+01
388.00,9.77923E+01
389.00,9.98774E+01
390.00,9.84069E+01
391.00,9.89817E+01
392.00,9.82488E+01
393.00,9.91224E+01
394.00,9.89323E+01
395.00,9.82292E+01
396.00,9.85913E+01
397.00,9.85394E+01
398.00,9.98032E+01
399.00,9.7747E+01
400.00,9.96177E+01
401.00,9.90098E+01
402.00,9.89611E+01
403.00,9.90483E+01
404.00,9.89866E+01
405.00,9.97813E+01
406.00,9.90985E+01
407.00,9.99445E+01
408.00,9.80144E+01
409.00,9.91398E+01
410.00,9.92295E+01
411.00,9.78076E+01
412.00,9.95081E+01
413.00,9.99122E+01
414.00,9.93036E+01
415.00,9.79332E+01
416.00,9.78387E+01
417.00,9.89069E+01
418.00,9.98145E+01
419.00,9.86558E+01
420.00,9.81584E+01
421.00,9.95774E+01
422.00,9.79006E+01
423.00,9.81749E+01
424.00,9.98723E+01
425.00,9.98594E+01
426.00,9.97804E+01
427.00,9.78931E+01
428.00,9.86557E+01
429.00,9.98202E+01
430.00,9.74452E+01
431.00,9.83049E+01
432.00,9.9027E+01
433.00,9.75784E+01
434.00,9.87961E+01
435.00,9.84536E+01
436.00,9.82021E+01
437.00,9.96663E+01
438.00,9.75771E+01
439.00,9.71933E+01
440.00,9.9467E+01
441.00,9.88947E+01
442.00,9.90464E+01
443.00,9.90478E+01
444.00,9.71841E+01
445.00,9.81865E+01
446.00,9.89805E+01
447.00,9.80351E+01
448.00,9.94765E+01
449.00,9.95455E+01
450.00,9.82448E+01
451.00,9.96213E+01
452.00,9.92183E+01
453.00,9.719E+01
454.00,9.84682E+01
455.00,9.93255E+01
456.00,9.80108E+01
457.00,9.87061E+01
458.00,9.90045E+01
459.00,9.7527E+01
460.00,9.84216E+01
461.00,9.94353E+01
462.00,9.78355E+01
463.00,9.80891E+01
464.00,9.99002E+01
465.00,9.93113E+01
466.00,9.89809E+01
467.00,9.98946E+01
468.00,9.85634E+01
469.00,9.72497E+01
470.00,9.85744E+01
471.00,9.90255E+01
472.00,9.8014E+01
473.00,9.85403E+01
474.00,9.88058E+01
475.00,9.76138E+01
476.00,9.82087E+01
477.00,9.96416E+01
478.00,9.85445E+01
479.00,9.77585E+01
480.00,9.93978E+01
481.00,9.9643E+01
482.00,9.81562E+01
483.00,9.8816E+01
484.00,9.9993E+01
485.00,9.84762E+01
486.00,9.75461E+01
487.00,9.92257E+01
488.00,9.95735E+01
489.00,9.78179E+01
490.00,9.79544E+01
491.00,9.94064E+01
492.00,9.87546E+01
493.00,9.78069E+01
494.00,9.90547E+01
495.00,9.97292E+01
496.00,9.81077E+01
497.00,9.75285E+01
498.00,9.88266E+01
499.00,9.87535E+01
500.00,9.74515E+01
501.00,9.8069E+01
502.00,9.9719E+01
503.00,9.92705E+01
504.00,9.79429E+01
505.00,9.86575E+01
506.00,9.99785E+01
507.00,9.89733E+01
508.00,9.72316E+01
509.00,9.74819E+01
510.00,9.84333E+01
511.00,9.78074E+01
512.00,9.71174E+01
513.00,9.8413E+01
514.00,9.99202E+01
515.00,9.91431E+01
516.00,9.77448E+01
517.00,9.82084E+01
518.00,9.92578E+01
519.00,9.84545E+01
520.00,9.69895E+01
521.00,9.73402E+01
