Wavelength(nm),T,OD
300,6.02E-14,15.22073
301,8.97E-14,15.04705
302,4.44E-13,14.3528
303,4.79E-13,14.31991
304,6.06E-12,13.21786
305,1.51E-10,11.8219
306,1.20E-13,14.92066
307,1.21E-15,16.9167
308,4.94E-13,14.30629
309,2.12E-14,15.67433
310,9.40E-10,11.02709
311,2.75E-13,14.56123
312,6.88E-11,12.16245
313,3.86E-08,9.41381
314,1.42E-07,8.84898
315,4.67E-06,7.3303
316,1.53E-06,7.81591
317,6.78E-04,5.16857
318,2.97E-06,7.5271
319,9.44E-09,10.02522
320,1.12E-02,3.95239
321,3.11E-05,6.50722
322,4.59E-08,9.33865
323,6.93E-05,6.15936
324,9.72E-07,8.01218
325,7.41E-04,5.1304
326,1.21E-06,7.91713
327,8.43E-06,7.07402
328,9.23E-09,10.03461
329,1.06E-09,10.97571
330,1.18E-10,11.92728
331,2.36E-08,9.62653
332,4.58E-08,9.33893
333,1.43E-10,11.84353
334,4.30E-10,11.36607
335,2.66E-10,11.57461
336,8.42E-10,11.07469
337,5.26E-09,10.27898
338,5.63E-11,12.24952
339,1.23E-10,11.90869
340,7.09E-10,11.14914
341,3.69E-06,7.43341
342,2.33E-10,11.632
343,1.19E-08,9.92273
344,1.54E-09,10.81143
345,1.07E-10,11.96907
346,2.08E-13,14.68174
347,1.32E-13,14.87881
348,2.45E-13,14.61093
349,1.15E-13,14.94089
350,2.93E-12,13.53288
351,4.04E-07,8.3936
352,6.46E-10,11.18992
353,7.72E-08,9.11213
354,6.56E-06,7.18305
355,1.39E-04,5.8577
356,1.30E-06,7.88755
357,1.54E-06,7.8116
358,5.86E-08,9.23206
359,7.76E-08,9.1101
360,1.56E-06,7.80647
361,6.44E-04,5.19117
362,9.80E+01,0.00884
363,9.79E+01,0.00906
364,9.80E+01,0.00896
365,9.80E+01,0.00891
366,9.80E+01,0.00886
367,9.80E+01,0.0089
368,9.80E+01,0.0089
369,9.80E+01,0.0089
370,9.80E+01,0.00888
371,9.80E+01,0.00887
372,9.80E+01,0.00886
373,9.80E+01,0.00885
374,9.80E+01,0.00886
375,9.80E+01,0.00885
376,9.80E+01,0.00886
377,9.80E+01,0.00885
378,9.80E+01,0.00886
379,9.80E+01,0.00886
380,9.80E+01,0.00886
381,9.80E+01,0.00885
382,9.80E+01,0.00885
383,9.80E+01,0.00883
384,9.80E+01,0.00884
385,9.80E+01,0.00882
386,9.80E+01,0.00883
387,9.80E+01,0.00884
388,9.80E+01,0.00885
389,9.80E+01,0.00885
390,9.80E+01,0.00883
391,9.80E+01,0.00883
392,9.80E+01,0.00881
393,9.80E+01,0.00885
394,9.80E+01,0.00884
395,9.80E+01,0.00884
396,9.80E+01,0.00882
397,9.80E+01,0.00882
398,9.80E+01,0.00884
399,9.80E+01,0.00885
400,9.80E+01,0.00883
401,9.80E+01,0.00883
402,9.80E+01,0.0088
403,9.80E+01,0.00888
404,9.80E+01,0.0088
405,9.80E+01,0.00885
406,9.80E+01,0.00881
407,9.80E+01,0.00884
408,9.80E+01,0.00885
409,9.80E+01,0.0088
410,9.80E+01,0.00885
411,9.80E+01,0.00882
412,9.80E+01,0.00884
413,9.80E+01,0.00881
414,9.80E+01,0.00885
415,9.80E+01,0.00883
416,9.80E+01,0.00881
417,9.80E+01,0.00886
