Wavelength,T
301,9.5E-05
302,9.5E-05
303,9.59829E-05
304,9.5E-05
305,9.5E-05
306,9.5E-05
307,9.5E-05
308,9.5E-05
309,9.5E-05
310,9.5E-05
311,9.5E-05
312,9.5E-05
313,9.5E-05
314,9.5E-05
315,9.5E-05
316,9.5E-05
317,9.5E-05
318,9.5E-05
319,9.5E-05
320,9.5E-05
321,9.5E-05
322,9.5E-05
323,9.5E-05
324,9.5E-05
325,9.5E-05
326,9.5E-05
327,9.5E-05
328,9.5E-05
329,9.5E-05
330,9.5E-05
331,9.5E-05
332,9.5E-05
333,9.5E-05
334,9.5E-05
335,9.5E-05
336,9.5E-05
337,9.5E-05
338,9.5E-05
339,9.5E-05
340,9.5E-05
341,9.5E-05
342,9.5E-05
343,9.5E-05
344,9.5E-05
345,9.5E-05
346,9.5E-05
347,9.5E-05
348,0.000536314
349,0.00324637
350,0.0074096
351,0.00722348
352,0.00460616
353,0.00499817
354,0.00543004
355,0.0029625
356,0.00168342
357,0.00214492
358,0.00102593
359,0.000988985
360,0.00216629
361,0.00154089
362,0.000291593
363,0.000293554
364,0.000223502
365,0.000213535
366,0.00027198
367,0.000441585
368,0.000615767
369,0.000718737
370,0.000304792
371,0.000401079
372,0.000572247
373,0.000394659
374,0.000710546
375,0.000258927
376,9.5E-05
377,0.000450324
378,0.000855525
379,9.5E-05
380,9.5E-05
381,9.5E-05
382,0.000108278
383,0.000526977
384,0.000232784
385,0.000237583
386,0.00017124
387,0.000251879
388,0.000178206
389,0.000145213
390,0.000209531
391,9.5E-05
392,9.5E-05
393,9.5E-05
394,0.000185186
395,9.5E-05
396,9.5E-05
397,0.000156788
398,0.000345421
399,0.000322814
400,0.000125007
401,9.5E-05
402,0.000210103
403,0.000487903
404,0.000336432
405,0.000799434
406,9.5E-05
407,9.5E-05
408,9.5E-05
409,0.00039351
410,0.000549449
411,0.000122066
412,0.000111621
413,0.000130178
414,9.5E-05
415,0.000933123
416,0.00104528
417,9.5E-05
418,9.5E-05
419,9.5E-05
420,0.000258792
421,0.000364302
422,9.5E-05
423,0.000192959
424,9.5E-05
425,9.5E-05
426,0.000227034
427,0.000432664
428,0.00128752
429,0.000457393
430,0.00053527
431,0.000541447
432,0.00351195
433,0.000311622
434,9.5E-05
435,9.5E-05
436,9.5E-05
437,9.5E-05
438,9.5E-05
439,9.5E-05
440,9.5E-05
441,9.5E-05
442,9.5E-05
443,9.5E-05
444,9.5E-05
445,9.5E-05
446,9.5E-05
447,9.5E-05
448,9.5E-05
449,9.5E-05
450,9.5E-05
451,9.5E-05
452,9.5E-05
453,9.5E-05
454,9.5E-05
455,9.5E-05
456,9.5E-05
457,9.5E-05
458,0.00142232
459,0.00115385
460,9.5E-05
461,9.5E-05
462,9.5E-05
463,0.000457472
464,0.000939501
465,9.5E-05
466,9.5E-05
467,9.5E-05
468,0.000102635
469,0.000160324
470,9.5E-05
