Wavelength,T
301,9.5E-05
302,0.000103459
303,9.5E-05
304,9.5E-05
305,9.5E-05
306,9.5E-05
307,9.5E-05
308,9.5E-05
309,9.5E-05
310,9.5E-05
311,9.5E-05
312,9.5E-05
313,9.5E-05
314,9.5E-05
315,9.5E-05
316,9.5E-05
317,9.5E-05
318,9.5E-05
319,9.5E-05
320,0.000264527
321,0.000151029
322,0.000258311
323,0.000185292
324,0.000256843
325,0.000289849
326,0.000243557
327,0.000235608
328,0.000252453
329,9.5E-05
330,0.000236592
331,0.000361667
332,9.5E-05
333,0.000176499
334,0.000233747
335,9.5E-05
336,0.000186676
337,9.5E-05
338,0.000262341
339,0.000166622
340,0.000504298
341,0.000159781
342,0.000276505
343,0.00030758
344,0.000208823
345,0.000210767
346,0.00022742
347,0.000151818
348,9.5E-05
349,9.5E-05
350,0.000336758
351,0.000156813
352,0.000126118
353,0.000338539
354,0.000288125
355,0.000364121
356,0.000381721
357,0.000651486
358,0.000594116
359,0.00174836
360,0.00119157
361,0.000600175
362,0.000767626
363,0.000152722
364,0.000104458
365,0.000102908
366,0.000207988
367,0.00011139
368,0.00013501
369,0.000194252
370,0.000147459
371,0.000146489
372,0.000639115
373,0.000286492
374,0.000170475
375,9.5E-05
376,9.5E-05
377,9.5E-05
378,9.5E-05
379,0.000136256
380,9.5E-05
381,0.000176854
382,0.000136366
383,0.00013238
384,0.000155281
385,0.000105738
386,9.5E-05
387,9.5E-05
388,9.5E-05
389,0.000100646
390,0.000135703
391,9.5E-05
392,0.000130611
393,0.000272771
394,0.000223847
395,0.000187165
396,9.5E-05
397,9.5E-05
398,9.5E-05
399,0.000304958
400,0.00135161
401,0.000105809
402,0.000117217
403,0.000105383
404,0.000110225
405,9.5E-05
406,0.000180325
407,9.5E-05
408,0.000414231
409,9.5E-05
410,9.5E-05
411,9.5E-05
412,0.000199941
413,9.5E-05
414,9.5E-05
415,9.5E-05
416,9.5E-05
417,9.5E-05
418,9.5E-05
419,9.66408E-05
420,9.5E-05
421,9.5E-05
422,9.5E-05
423,9.5E-05
424,9.5E-05
425,9.5E-05
426,9.5E-05
427,9.5E-05
428,9.5E-05
429,9.5E-05
430,0.000182843
431,0.000131444
432,9.5E-05
433,9.5E-05
434,9.5E-05
435,9.5E-05
436,9.5E-05
437,0.00012184
438,9.5E-05
439,9.5E-05
440,9.5E-05
441,9.5E-05
442,9.5E-05
443,9.5E-05
444,9.5E-05
445,9.5E-05
446,9.5E-05
447,9.5E-05
448,0.00162378
449,0.00070526
450,0.000115824
451,9.5E-05
452,9.5E-05
453,9.5E-05
454,9.5E-05
455,9.5E-05
456,9.5E-05
457,0.00115056
458,9.5E-05
459,9.5E-05
460,9.5E-05
461,9.5E-05
462,9.5E-05
463,9.5E-05
464,9.5E-05
465,9.5E-05
466,9.5E-05
467,9.5E-05
468,9.5E-05
469,9.5E-05
470,9.5E-05
471,9.5E-05
472,9.5E-05
473,9.5E-05
474,9.5E-05
475,9.5E-05
476,9.5E-05
477,9.5E-05
478,9.5E-05
479,9.5E-05
480,9.5E-05
481,0.000172512
482,9.5E-05
483,9.5E-05
484,9.5E-05
485,9.5E-05
486,9.5E-05
487,9.5E-05
488,0.000168594
489,9.5E-05
490,9.5E-05
491,9.5E-05
492,9.5E-05
493,9.5E-05
494,9.5E-05
495,9.5E-05
496,9.5E-05
497,9.5E-05
498,9.5E-05
499,9.5E-05
500,9.5E-05
501,9.5E-05
502,9.5E-05
503,9.5E-05
504,9.5E-05
505,9.5E-05
506,9.5E-05
507,9.5E-05
508,9.5E-05
509,9.5E-05
510,9.5E-05
511,9.5E-05
512,9.5E-05
513,9.5E-05
514,9.5E-05
515,9.5E-05
516,9.5E-05
517,9.5E-05
518,9.5E-05
519,0.000223881
520,9.5E-05
521,9.5E-05
522,9.5E-05
523,0.000288735
524,9.5E-05
525,9.5E-05
526,9.5E-05
527,9.5E-05
528,9.5E-05
529,9.5E-05
530,9.5E-05
531,9.5E-05
532,9.5E-05
533,0.000202872
534,0.000184532
535,0.000218453
536,0.000611302
537,0.000208637
538,9.5E-05
539,9.5E-05
540,9.5E-05
541,9.5E-05
542,9.5E-05
543,9.5E-05
544,9.5E-05
545,9.5E-05
546,0.000101204
547,0.000173011
548,0.000417091
549,0.00114576
550,0.0044133
551,0.0202867
552,0.130163995
553,1.367130037
554,25.15709996
555,95.82440257
556,98.80899787
557,98.69350195
558,98.54210019
559,99.73059893
560,98.60789776
561,98.91790152
562,99.40119982
563,99.04670119
564,98.14429879
565,99.09240007
566,99.14209843
567,98.32950234
568,98.46349955
569,99.00429845
570,99.20499921
571,99.05470014
572,98.4818995
573,98.40469956
574,99.14360046
575,99.27080274
576,98.97390008
577,98.57730269
578,98.90499711
579,99.26249981
580,98.62930179
581,97.97660112
582,98.43549728
